,Alloy composition,,,,,,,,,,,,,,Heat Treatment,,,,,,Microstructure and Phases,,Allot Discription ,,
Alloy ,Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,Zr,Hf,Ta,Homogenization_Temp,Homogenization_Time,Annealing_Temp,Annealing_Time_(min),Quenching,HPR,Microstructure,Phases,"The alloy Al0.5NbTaTiV , is having 5 elemental composition and without heat treatment it is showing BCC microstructure and BCC_SS Phases",,References
HfMoNbTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0.2,0,1100,600,,,FC,,BCC,BCC_SS,,,10.1016/j.matdes.2015.05.019
HfMoNbTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0.2,0,1100,600,,,FC,,BCC,BCC_SS,,,10.1016/j.matdes.2015.05.019
HfNbTaTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,1100,300,,,,,BCC,BCC_SS,,,10.1016/j.actamat.2017.09.035
HfNbTaTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,,,,,,,BCC,BCC_SS,,,10.1016/j.jallcom.2014.11.064
HfNbTaTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,,,,,,,BCC,BCC_SS,,,10.1016/j.matlet.2016.03.133
HfNbTaTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,,,,,,,BCC,BCC_SS,,,10.1016/j.matlet.2016.08.060
HfNbTaTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,,,,,,,BCC,BCC_SS,,,10.1016/j.matlet.2016.08.060
HfNbTaTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,1200,360,,,,,BCC,BCC_SS,,,10.1016/j.matlet.2016.08.060
HfNbTaTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,1050,120,1050,240,,,BCC,BCC_SS,,,10.1016/j.actamat.2017.09.062
HfNbTaTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,,,,,,,BCC,BCC_SS,,,10.1016/j.msea.2015.08.024
HfNbTaTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,,,,,,,BCC,BCC_SS,,,10.1016/j.matchar.2015.11.018
HfNbTaTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,,,,,,,BCC,BCC_SS,,,10.1016/j.msea.2015.12.017
HfNbTaTiZr,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,,,,,,,BCC,BCC_SS,,,10.1016/j.msea.2015.12.017
